CustomerKey,AltCustomerKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,DateFirstPurchase,CommuteDistance
21063,11063,Angela,Murphy,4/7/1975 0:00,S,F,angela41@adventure-works.com,40000,0,High School,Skilled Manual,1,2,4927 Virgil Street,7/16/2003 0:00,5-10 Miles
21064,11064,Chase,Reed,12/7/1975 0:00,M,M,chase21@adventure-works.com,40000,0,High School,Skilled Manual,1,2,2721 Alexander Pl.,7/29/2003 0:00,5-10 Miles
21065,11065,Jessica,Henderson,10/9/1973 0:00,M,F,jessica29@adventure-works.com,60000,0,Partial College,Skilled Manual,0,2,9343 Ironwood Way,8/14/2003 0:00,1-2 Miles
21066,11066,Grace,Butler,11/27/1973 0:00,M,F,grace62@adventure-works.com,70000,0,Partial College,Professional,1,2,4739 Garden Ave.,12/2/2003 0:00,5-10 Miles
21067,11067,Caleb,Carter,9/25/1976 0:00,S,M,caleb40@adventure-works.com,60000,0,Partial College,Professional,1,2,9563 Pennsylvania Blvd.,2/19/2004 0:00,5-10 Miles
21068,11068,Tiffany,Liang,9/23/1955 0:00,S,F,tiffany17@adventure-works.com,80000,2,High School,Skilled Manual,1,2,3608 Sinclair Avenue,11/1/2003 0:00,5-10 Miles
21069,11069,Carolyn,Navarro,9/21/1955 0:00,S,F,carolyn30@adventure-works.com,80000,2,High School,Skilled Manual,0,2,4606 Springwood Court,10/18/2001 0:00,1-2 Miles
21070,11070,Willie,Raji,4/5/1955 0:00,M,M,willie40@adventure-works.com,80000,2,High School,Skilled Manual,1,2,6260 Vernal Drive,10/29/2001 0:00,5-10 Miles
21071,11071,Linda,Serrano,6/26/1955 0:00,S,F,linda31@adventure-works.com,80000,2,High School,Skilled Manual,1,2,9808 Shaw Rd.,9/2/2003 0:00,5-10 Miles
21072,11072,Casey,Luo,2/6/1955 0:00,S,F,casey6@adventure-works.com,80000,2,High School,Skilled Manual,0,2,9513 Roslyn Drive,10/1/2001 0:00,1-2 Miles
21073,11073,Amy,Ye,8/14/1956 0:00,S,F,amy16@adventure-works.com,70000,2,High School,Skilled Manual,1,2,2262 Kirkwood Ct.,9/24/2003 0:00,5-10 Miles
21074,11074,Levi,Arun,8/28/1956 0:00,S,M,levi6@adventure-works.com,70000,2,High School,Skilled Manual,1,2,4661 Bluetail,9/24/2003 0:00,5-10 Miles
21075,11075,Felicia,Jimenez,11/16/1957 0:00,S,F,felicia4@adventure-works.com,80000,2,High School,Professional,1,2,786 Eastgate Ave,10/29/2001 0:00,5-10 Miles
21076,11076,Blake,Anderson,7/13/1957 0:00,S,M,blake9@adventure-works.com,80000,2,High School,Professional,1,2,5436 Clear,10/22/2001 0:00,5-10 Miles
21077,11077,Leah,Ye,9/19/1957 0:00,S,F,leah7@adventure-works.com,80000,2,High School,Professional,0,2,1291 Arguello Blvd.,10/16/2001 0:00,1-2 Miles
21078,11078,Gina,Martin,1/10/1974 0:00,S,F,gina1@adventure-works.com,40000,0,High School,Professional,0,2,1349 Sol St.,8/19/2003 0:00,1-2 Miles
21079,11079,Donald,Gonzalez,3/11/1959 0:00,S,M,donald20@adventure-works.com,160000,0,Graduate Degree,Management,1,2,4236 Malibu Place,9/16/2003 0:00,0-1 Miles
21080,11080,Damien,Chander,7/17/1959 0:00,M,M,damien32@adventure-works.com,170000,0,Graduate Degree,Management,1,2,9941 Stonehedge Dr.,10/11/2001 0:00,0-1 Miles
21081,11081,Savannah,Baker,7/24/1966 0:00,M,F,savannah39@adventure-works.com,120000,2,Bachelors,Management,1,3,1210 Trafalgar Circle,8/16/2003 0:00,2-5 Miles
21082,11082,Angela,Butler,8/4/1966 0:00,S,F,angela17@adventure-works.com,130000,0,Graduate Degree,Management,0,3,6040 Listing Ct,7/26/2003 0:00,1-2 Miles
21083,11083,Alyssa,Cox,3/15/1966 0:00,M,F,alyssa37@adventure-works.com,130000,0,Graduate Degree,Management,1,3,867 La Orinda Place,7/10/2003 0:00,1-2 Miles
21084,11084,Lucas,Phillips,9/12/1957 0:00,S,M,lucas7@adventure-works.com,80000,2,Partial High School,Skilled Manual,0,2,8668 St. Celestine Court,7/8/2003 0:00,1-2 Miles
21085,11085,Emily,Johnson,7/19/1957 0:00,S,F,emily1@adventure-works.com,60000,2,High School,Professional,0,2,7926 Stephanie Way,6/8/2004 0:00,5-10 Miles
21086,11086,Ryan,Brown,12/23/1957 0:00,M,M,ryan43@adventure-works.com,70000,2,Partial College,Professional,1,0,2939 Wesley Ct.,1/3/2004 0:00,0-1 Miles
21087,11087,Tamara,Liang,10/3/1957 0:00,M,F,tamara6@adventure-works.com,70000,3,Partial College,Professional,0,0,3791 Rossmor Parkway,8/29/2003 0:00,0-1 Miles
21088,11088,Hunter,Davis,11/25/1957 0:00,M,M,hunter64@adventure-works.com,80000,2,Bachelors,Management,1,0,4308 Sand Pointe Lane,7/17/2003 0:00,2-5 Miles
21089,11089,Abigail,Price,2/5/1957 0:00,S,F,abigail25@adventure-works.com,80000,2,Bachelors,Management,1,1,2685 Blackburn Ct,7/2/2003 0:00,2-5 Miles
21090,11090,Trevor,Bryant,12/17/1957 0:00,S,M,trevor18@adventure-works.com,90000,2,Partial College,Professional,1,1,5781 Sharon Dr.,2/7/2002 0:00,2-5 Miles
21091,11091,Dalton,Perez,4/4/1957 0:00,M,M,dalton37@adventure-works.com,90000,2,Partial College,Professional,1,1,6083 San Jose,8/2/2003 0:00,5-10 Miles
21092,11092,Cheryl,Diaz,5/6/1967 0:00,M,F,cheryl4@adventure-works.com,90000,2,Bachelors,Professional,1,0,7297 Kaywood Drive,10/9/2001 0:00,1-2 Miles
21093,11093,Aimee,He,9/10/1967 0:00,M,F,aimee13@adventure-works.com,100000,0,Graduate Degree,Management,1,0,1833 Olympic Drive,10/8/2001 0:00,0-1 Miles
21094,11094,Cedric,Ma,4/1/1962 0:00,S,M,cedric15@adventure-works.com,70000,1,Partial College,Skilled Manual,0,1,3407 Oak Brook Place,10/9/2003 0:00,0-1 Miles
21095,11095,Chad,Kumar,9/1/1962 0:00,S,M,chad9@adventure-works.com,70000,1,Partial College,Skilled Manual,1,1,1681 Lighthouse Way,10/2/2001 0:00,5-10 Miles
21096,11096,Andrés,Anand,8/10/1962 0:00,M,M,andrés18@adventure-works.com,60000,1,Bachelors,Professional,1,1,5423 Los Gatos Ct.,10/12/2001 0:00,5-10 Miles
21097,11097,Edwin,Nara,10/27/1961 0:00,M,M,edwin39@adventure-works.com,60000,1,Partial College,Skilled Manual,1,1,719 William Way,10/5/2001 0:00,5-10 Miles
21098,11098,Mallory,Rubio,5/1/1961 0:00,S,F,mallory7@adventure-works.com,60000,1,Partial College,Skilled Manual,0,1,6452 Harris Circle,8/15/2003 0:00,0-1 Miles
21099,11099,Adam,Ross,3/8/1961 0:00,M,M,adam2@adventure-works.com,60000,1,Bachelors,Professional,1,1,4378 Westminster Place,10/8/2001 0:00,0-1 Miles
21100,11100,Latasha,Navarro,9/15/1960 0:00,S,F,latasha10@adventure-works.com,60000,1,Partial College,Skilled Manual,1,1,6954 Ranch Road,10/17/2001 0:00,5-10 Miles
21101,11101,Abby,Sai,5/8/1965 0:00,S,F,abby4@adventure-works.com,70000,0,Bachelors,Professional,0,1,7074 N. Spoonwood Court,10/30/2001 0:00,0-1 Miles
21102,11102,Julia,Nelson,4/21/1965 0:00,S,F,julia7@adventure-works.com,80000,5,Bachelors,Professional,1,4,2196 Coat Ct.,1/17/2004 0:00,1-2 Miles
21103,11103,Cassie,Chande,10/17/1964 0:00,S,F,cassie13@adventure-works.com,70000,0,Bachelors,Professional,1,1,9448 San Marino Ct.,10/16/2001 0:00,5-10 Miles
21104,11104,Edgar,Sara,3/11/1964 0:00,M,M,edgar11@adventure-works.com,70000,0,Bachelors,Professional,0,1,6127 Lilly Lane,11/4/2001 0:00,0-1 Miles
21105,11105,Candace,Fernandez,12/28/1964 0:00,S,F,candace15@adventure-works.com,70000,0,Bachelors,Professional,0,1,5029 Blue Ridge,11/14/2001 0:00,5-10 Miles
21106,11106,Jessie,Liu,9/11/1964 0:00,S,M,jessie9@adventure-works.com,70000,0,Bachelors,Professional,0,1,3063 Blue Jay Drive,11/18/2001 0:00,5-10 Miles
21107,11107,Bianca,Lin,9/9/1959 0:00,M,F,bianca7@adventure-works.com,90000,1,Bachelors,Professional,1,1,7530 Eola,11/1/2001 0:00,5-10 Miles
21108,11108,Kari,Alvarez,7/14/1963 0:00,S,F,kari25@adventure-works.com,70000,0,Bachelors,Professional,0,2,9178 Thornhill Place,11/3/2001 0:00,0-1 Miles
21109,11109,Ruben,Kapoor,11/5/1963 0:00,S,M,ruben1@adventure-works.com,70000,0,Bachelors,Professional,0,2,1984 Glendale Circle,11/10/2001 0:00,0-1 Miles
21110,11110,Curtis,Yang,6/6/1962 0:00,M,M,curtis5@adventure-works.com,60000,1,Partial College,Skilled Manual,1,1,4052 Mt. Wilson Way,11/1/2001 0:00,5-10 Miles
21111,11111,Meredith,Gutierrez,2/23/1962 0:00,M,F,meredith34@adventure-works.com,60000,1,Partial College,Skilled Manual,1,1,7610 Northridge Ct.,11/20/2001 0:00,0-1 Miles
21112,11112,Crystal,Wang,9/9/1962 0:00,M,F,crystal3@adventure-works.com,60000,1,Partial College,Skilled Manual,1,1,2773 Kirkwood Dr,11/25/2001 0:00,0-1 Miles
21113,11113,Micheal,Blanco,2/21/1962 0:00,M,M,micheal11@adventure-works.com,70000,5,Bachelors,Professional,1,2,596 Marfargoa Drive,8/5/2003 0:00,5-10 Miles
21114,11114,Leslie,Moreno,5/28/1962 0:00,S,F,leslie7@adventure-works.com,70000,5,Partial College,Skilled Manual,1,2,7941 Cristobal,9/19/2003 0:00,5-10 Miles
21115,11115,Alvin,Cai,2/12/1962 0:00,M,M,alvin20@adventure-works.com,70000,5,Partial College,Skilled Manual,1,2,7759 Azalea Avenue,8/14/2003 0:00,0-1 Miles
21116,11116,Clinton,Carlson,10/7/1962 0:00,M,M,clinton14@adventure-works.com,70000,5,Partial College,Skilled Manual,1,2,7943 Cunha Ct.,9/16/2003 0:00,5-10 Miles
21117,11117,April,Deng,2/21/1961 0:00,M,F,april1@adventure-works.com,70000,5,Partial College,Skilled Manual,1,3,485 Ash Lane,11/6/2001 0:00,10+ Miles
21118,11118,Alvin,Zeng,7/3/1957 0:00,S,M,alvin21@adventure-works.com,80000,1,Partial College,Skilled Manual,0,1,3853 Wildcat Circle,1/11/2004 0:00,0-1 Miles
21119,11119,Evan,James,4/10/1935 0:00,S,M,evan8@adventure-works.com,30000,2,Partial College,Clerical,0,2,4157 Sierra Ridge,8/7/2003 0:00,0-1 Miles
21120,11120,Beth,Jiménez,8/9/1936 0:00,S,F,beth8@adventure-works.com,40000,2,Bachelors,Management,1,1,7401 Las Palmas,11/14/2001 0:00,5-10 Miles
21121,11121,Orlando,Suarez,11/18/1960 0:00,M,M,orlando19@adventure-works.com,70000,5,Partial College,Skilled Manual,1,3,7743 Hames Dr,12/26/2003 0:00,10+ Miles
21122,11122,Byron,Vazquez,4/2/1960 0:00,M,M,byron9@adventure-works.com,70000,5,Partial College,Skilled Manual,1,3,3187 Hackamore Lane,8/25/2003 0:00,5-10 Miles
21123,11123,Philip,Alvarez,6/20/1960 0:00,M,M,philip4@adventure-works.com,70000,5,Partial College,Skilled Manual,1,3,2775 Mt. Olivet Pl.,10/19/2003 0:00,10+ Miles
21124,11124,Ross,Jordan,7/27/1957 0:00,S,M,ross1@adventure-works.com,80000,1,Partial College,Skilled Manual,1,1,6973 Dublin Court,11/5/2001 0:00,5-10 Miles
21125,11125,Dana,Navarro,4/8/1956 0:00,S,F,dana2@adventure-works.com,70000,1,Partial College,Skilled Manual,1,1,8481 Zartop Street,8/4/2003 0:00,5-10 Miles
21126,11126,Shaun,Carson,4/7/1949 0:00,M,M,shaun16@adventure-works.com,10000,2,High School,Skilled Manual,0,2,57 Wolf Way,11/28/2001 0:00,0-1 Miles
21127,11127,Jan,Edwards,10/21/1975 0:00,M,F,jan11@adventure-works.com,40000,0,High School,Skilled Manual,1,1,9409 The Alameda,10/12/2003 0:00,5-10 Miles
21128,11128,Samantha,Long,12/5/1975 0:00,M,F,samantha35@adventure-works.com,40000,0,High School,Skilled Manual,1,1,1606 Alderwood Lane,12/21/2003 0:00,5-10 Miles
21129,11129,Julia,Wright,8/5/1975 0:00,S,F,julia17@adventure-works.com,40000,0,High School,Skilled Manual,1,1,7397 Central Blvd.,2/6/2002 0:00,5-10 Miles
21130,11130,Caroline,Russell,1/6/1980 0:00,M,F,caroline21@adventure-works.com,30000,0,High School,Skilled Manual,1,2,3884 Bates Court,6/11/2004 0:00,5-10 Miles
21131,11131,Amanda,Rivera,3/12/1980 0:00,M,F,amanda7@adventure-works.com,30000,0,High School,Skilled Manual,0,2,9573 Royal Oak Rd.,4/20/2004 0:00,0-1 Miles
21132,11132,Melissa,Richardson,10/26/1980 0:00,S,F,melissa31@adventure-works.com,30000,0,High School,Skilled Manual,0,2,6832 Fruitwood Dr,10/11/2003 0:00,5-10 Miles
21133,11133,Angela,Griffin,9/8/1980 0:00,S,F,angela23@adventure-works.com,30000,0,Partial High School,Clerical,0,2,3828 Baltic Sea Ct,7/2/2004 0:00,0-1 Miles
21134,11134,Larry,Townsend,2/26/1946 0:00,S,M,larry14@adventure-works.com,10000,5,High School,Skilled Manual,1,2,7034 Carson,11/3/2001 0:00,5-10 Miles
21135,11135,Marcus,Harris,11/3/1979 0:00,S,M,marcus14@adventure-works.com,30000,0,Partial High School,Clerical,0,2,9068 Quiet Place Drive,10/20/2003 0:00,5-10 Miles
21136,11136,Brianna,Morgan,10/26/1978 0:00,S,F,brianna30@adventure-works.com,40000,0,High School,Skilled Manual,0,2,9005 Eagle Ct.,7/7/2003 0:00,0-1 Miles
21137,11137,Jasmine,Taylor,7/20/1978 0:00,M,F,jasmine7@adventure-works.com,40000,0,High School,Skilled Manual,1,2,2457 Matterhorn Court,2/1/2004 0:00,5-10 Miles
21138,11138,Lauren,Davis,9/15/1978 0:00,M,F,lauren23@adventure-works.com,40000,0,High School,Skilled Manual,0,2,8105 Pembrook Court,3/22/2004 0:00,0-1 Miles
21139,11139,Tanya,Moreno,11/9/1938 0:00,S,F,tanya2@adventure-works.com,30000,2,Partial College,Clerical,0,2,6155 Wilbur Drive,3/17/2004 0:00,5-10 Miles
21140,11140,Javier,Alvarez,2/11/1977 0:00,S,M,javier1@adventure-works.com,30000,0,Partial High School,Clerical,0,2,8935 Etcheverry Dr.,9/20/2003 0:00,5-10 Miles
21141,11141,Nicole,Ramirez,6/21/1977 0:00,M,F,nicole42@adventure-works.com,40000,0,High School,Skilled Manual,0,2,1101 C Street,11/17/2003 0:00,0-1 Miles
21142,11142,Eduardo,Patterson,8/14/1977 0:00,S,M,eduardo55@adventure-works.com,40000,0,High School,Skilled Manual,0,2,6255 Macalvey Dr.,8/17/2003 0:00,0-1 Miles
21143,11143,Jonathan,Henderson,2/4/1977 0:00,M,M,jonathan4@adventure-works.com,40000,0,High School,Skilled Manual,1,2,165 East Lane Road,12/17/2003 0:00,5-10 Miles
21144,11144,Edward,Hernandez,9/9/1979 0:00,S,M,edward48@adventure-works.com,40000,0,High School,Skilled Manual,0,2,7607 Pine Hollow Road,7/29/2003 0:00,0-1 Miles
21145,11145,Jasmine,Coleman,12/8/1979 0:00,S,F,jasmine46@adventure-works.com,40000,0,High School,Skilled Manual,0,2,1961 Oak Grove Road,7/29/2003 0:00,0-1 Miles
21146,11146,Karla,Goel,8/26/1939 0:00,S,F,karla20@adventure-works.com,40000,2,Bachelors,Management,1,2,3272 Corrie Lane,8/9/2003 0:00,5-10 Miles
